日期,成交量,外資,投信,自營,外資大小,前五大交易人留倉,前十大交易人留倉,選PCR,外(選),韭菜指數,未平倉口數
2026-08-26,"8,430.9億",366.1,33.7,179.3,-82244.5,24070.0,10589.0,103.04,-332643.0,2.52%,107454.0
2026-08-27,"9,674.7億",490.9,-14.5,150.4,-84395.25,23352.0,8071.0,105.81,-325469.0,12.64%,106308.0
2026-08-28,"10,689.9億",417.5,-2.0,42.7,-82834.5,22917.0,7423.0,101.44,-348720.0,7.48%,107224.0
2026-08-31,"12,892.3億",-143.9,-40.0,-74.5,-82908.5,21751.0,7641.0,96.12,-283365.0,14.11%,106380.0
2026-09-01,"11,875.7億",267.1,136.0,163.3,-77454.5,24379.0,11155.0,110.04,-433057.0,-3.54%,
2026-09-02,"9,765.0億",-913.5,-35.3,-203.6,-85377.0,20267.0,6259.0,83.9,-330170.0,9.52%,107868.0
2026-09-03,"9,932.6億",-481.5,6.9,-167.1,-80869.5,21743.0,8196.0,77.16,-271174.0,0.99%,106376.0
2026-09-04,"8,582.4億",562.1,-9.1,63.7,-80825.25,23517.0,9285.0,99.8,-352556.0,-7.81%,107437.0
2026-09-07,"9,979.4億",883.1,87.2,156.9,-78728.5,22962.0,8559.0,111.69,-445220.0,-0.95%,107575.0
2026-09-08,"9,226.6億",132.7,-72.4,-185.4,-82693.0,20170.0,4831.0,105.23,-435549.0,11.57%,108323.0
2026-09-09,"8,159.8億",209.2,20.8,-18.8,-80731.75,19551.0,4426.0,96.34,-446855.0,4.17%,107338.0
2026-09-10,"7,507.4億",-383.3,33.5,-137.6,-83609.5,18718.0,3001.0,82.67,-398220.0,5.73%,107699.0
2026-09-11,"7,622.5億",-892.7,71.0,-302.0,-84745.25,18824.0,3114.0,87.7,-362430.0,5.82%,109650.0
2026-09-14,"6,653.2億",-369.6,37.0,-150.9,-81501.75,20019.0,4557.0,88.04,-258648.0,-3.56%,108409.0
2026-09-15,"6,347.1億",-627.0,-22.2,-142.1,-82215.0,17190.0,3506.0,85.89,-237597.0,-0.14%,109861.0
2026-09-16,"6,759.7億",-179.8,95.7,-129.7,-75752.0,20892.0,5923.0,83.56,-213166.0,11.65%,106915.0
2026-09-17,"8,666.2億",121.9,77.1,15.8,-78909.75,22456.0,6409.0,76.5,-140655.0,26.17%,100891.0
2026-09-18,"11,423.2億",869.9,52.9,243.0,,,,,,,
